DEPT,ROP,GR
0.0,,
0.1254,,
0.2508,,
0.3762,,
0.5016,,
0.627,,
0.7524,,
0.8778,,
1.0032,,
1.1286,,
1.254,,
1.3794,,
1.5048,,
1.6302,,
1.7556,,
1.881,,
2.0064,,
2.1318,,
2.2572,,
2.3826,,
2.508,,
2.6334,,
2.7588,,
2.8842,,
3.0096,,
3.135,,
3.2604,,
3.3858,,
3.5112,,
3.6366,,
3.762,,
3.8874,,
4.0128,,
4.1382,,
4.2636,,
4.389,,
4.5144,,
4.6398,,
4.7652,,
4.8906,,
5.016,,
5.1414,,
5.2668,,
5.3922,,
5.5176,,
5.643,,
5.7684,,
5.8938,,
6.0192,,
6.1446,,
6.27,,
6.3954,,
6.5208,,
6.6462,,
6.7716,,
6.897,,
7.0224,,
7.1478,,
7.2732,,
7.3986,,
7.524,,
7.6494,,
7.7748,,
7.9002,,
8.0256,,
8.151,,
8.2764,,
8.4018,,
8.5272,,
8.6526,,
8.778,,
8.9034,,
9.0288,,
9.1542,,
9.2796,,
9.405,,
9.5304,,
9.6558,,
9.7812,,
9.9066,,
10.032,,
10.1574,,
10.2828,,
10.4082,,
10.5336,,
10.659,,
10.7844,,
10.9098,,
11.0352,,
11.1606,,
11.286,,
11.4114,,
11.5368,,
11.6622,,
11.7876,,
11.913,,
12.0384,,
12.1638,,
12.2892,,
12.4146,,
12.54,,
12.6654,,
12.7908,,
12.9162,,
13.0416,,
13.167,,
13.2924,,
13.4178,,
13.5432,,
13.6686,,
13.794,,
13.9194,,
14.0448,,
14.1702,,
14.2956,,
14.421,,
14.5464,,
14.6718,,
14.7972,,
14.9226,,
15.048,,
15.1734,,
15.2988,,
15.4242,,
15.5496,,
15.675,,
15.8004,,
15.9258,,
16.0512,,
16.1766,,
16.302,,
16.4274,,
16.5528,,
16.6782,,
16.8036,,
16.929,,
17.0544,,
17.1798,,
17.3052,,
17.4306,,
17.556,,
17.6814,,
17.8068,,
17.9322,,
18.0576,,
18.183,,
18.3084,,
18.4338,,
18.5592,,
18.6846,,
18.81,,
18.9354,,
19.0608,,
19.1862,,
19.3116,,
19.437,,
19.5624,,
19.6878,,
19.8132,,
19.9386,,
20.064,,
20.1894,,
20.3148,,
20.4402,,
20.5656,,
20.691,,
20.8164,,
20.9418,,
21.0672,,
21.1926,,
21.318,,
21.4434,,
21.5688,,
21.6942,,
21.8196,,
21.945,,
22.0704,,
22.1958,,
22.3212,,
22.4466,,
22.572,,
22.6974,,
22.8228,,
22.9482,,
23.0736,,
23.199,,
23.3244,,
23.4498,,
23.5752,,
23.7006,,
23.826,,
23.9514,,
24.0768,,
24.2022,,
24.3276,,
24.453,,
24.5784,,
24.7038,,
24.8292,,
24.9546,,
25.08,181.5149,
25.2054,181.7096,
25.3308,181.6912,
25.4562,181.4501,
25.5816,181.5844,
25.707,181.3578,
25.8324,181.5418,
25.9578,181.3228,
26.0832,181.6165,
26.2086,181.8332,
26.334,181.7005,
26.4594,179.0963,
26.5848,175.9539,
26.7102,172.6392,
26.8356,170.5078,
26.961,167.7222,
27.0864,166.376,
27.2118,166.4637,
27.3372,166.5752,
27.4626,166.1922,
27.588,166.2543,
27.7134,165.4695,
27.8388,165.0703,
27.9642,164.9142,
28.0896,165.0701,
28.215,163.4601,
28.3404,161.511,
28.4658,161.0156,
28.5912,159.4224,
28.7166,157.2187,
28.842,155.2632,
28.9674,154.4921,
29.0928,152.9686,
29.2182,151.3972,
29.3436,150.7639,
29.469,150.7264,
29.5944,150.6917,
29.7198,150.4957,
29.8452,150.7499,
29.9706,150.5079,
30.096,150.7762,
30.2214,138.3174,
30.3468,126.3537,
30.4722,103.1559,
30.5976,82.7099,
30.723,61.3194,
30.8484,53.6628,
30.9738,45.0784,
31.0992,42.1883,
31.2246,43.1977,
31.35,46.0123,
31.4754,47.2753,
31.6008,51.1168,
31.7262,53.8616,
31.8516,55.2994,
31.977,58.3012,
32.1024,62.1493,
32.2278,64.9714,
32.3532,66.1535,
32.4786,66.95,
32.604,63.0526,
32.7294,62.2106,
32.8548,59.2939,
32.9802,57.2932,
33.1056,54.6159,
33.231,54.6026,
33.3564,51.8553,
33.4818,48.5092,
33.6072,42.2458,
33.7326,36.8726,
33.858,32.1539,
33.9834,27.5982,
34.1088,24.2936,
34.2342,24.0177,
34.3596,24.6141,
34.485,21.8009,
34.6104,18.639,
34.7358,15.2188,
34.8612,11.9566,
34.9866,10.5466,
35.112,10.6427,
35.2374,10.7377,
35.3628,13.8371,
35.4882,23.6099,
35.6136,39.4394,
35.739,49.426,
35.8644,62.3897,
35.9898,61.7193,
36.1152,51.2334,
36.2406,39.1725,
36.366,28.995,
36.4914,17.1141,
36.6168,18.6843,
36.7422,19.2811,
